,words,positions
57,از,"[34, 514, 1516, 3331, 7650, 15470, 15471, 15472, 15473, 15474, 15475, 15476, 15477, 15478, 15479, 15480, 15481, 15482, 15483, 15484, 15485, 15486, 15487, 15488, 15489, 15490, 15491, 15492, 15493, 15494, 15495, 15496, 15497, 15498, 15499, 15500, 15501, 15502, 15503, 15504, 15505, 15506, 15507, 15508, 15509, 15510, 15511, 15512, 15513, 15514, 15515, 15516, 15517, 15518, 15519, 15520, 15521, 15522, 15523, 15524]"
58,ازبررسی,[8428]
59,ازدواج,"[7422, 18597, 18602]"
60,اس,"[17, 94, 213, 479, 997, 2099, 4209, 9052, 18246, 18247, 18248, 18249, 18250, 18251, 18252, 18253, 18254, 18255, 18256, 18257, 18258, 18259, 18260, 18261, 18262, 18263, 18264, 18265, 18266, 18267, 18268, 18269, 18270, 18271, 18272, 18273, 18274, 18275, 18276, 18277, 18278, 18279, 18280, 18281, 18282, 18283, 18284, 18285, 18286, 18287, 18288, 18289, 18290, 18291, 18292, 18293, 18294, 18295, 18296, 18297, 18298, 18299, 18300, 18301, 18302, 18303, 18304, 18305, 18306, 18307, 18308, 18309, 18310, 18311, 18312, 18313, 18314, 18315, 18316, 18317, 18318, 18319, 18320, 18321, 18322, 18323, 18324, 18325, 18326, 18327, 18328, 18329, 18330, 18331, 18332, 18333, 18334, 18335, 18336, 18337, 18338, 18339, 18340, 18341, 18342, 18343, 18344, 18345, 18346, 18347, 18348, 18349, 18350, 18351, 18352, 18353, 18354, 18355]"
61,اساسنامه,[7785]
62,استاد,"[521, 1488, 9491, 20089, 20093, 20097]"
63,استادن,[11462]
64,استفاده,"[1107, 10306, 20895, 20901, 20907]"
65,اسلام,"[20, 100, 261, 530, 1161, 2430, 5533, 11706, 23946, 23950, 23954, 23958, 23962, 23966, 23970, 23974, 23978, 23982, 23986, 23990, 23994, 23998, 24002, 24006, 24010, 24014, 24018, 24022, 24026, 24030, 24034, 24038]"
66,اشاره,"[7556, 18018]"
67,اشتغال,[447]
68,اصل,"[356, 2703, 6206, 6208, 6210, 6212, 6214, 6216, 6218, 6220, 6222]"
69,اصلاح,"[2349, 5854, 5858, 5862, 5866, 5870, 5874, 5878, 5882]"
70,اطلاع,[6407]
71,اع,"[2317, 6725, 14054, 14055, 14056, 14057, 14058, 14059, 14060, 14061, 14062, 14063, 14064, 14065, 14066, 14067, 14068]"
72,اعزا,"[7331, 14705]"
73,اعضا,[9066]
74,افزار,"[2279, 8219]"
75,افزون,[6292]
76,اقتصاد,"[2384, 4815, 4820, 4825, 4830]"
77,اقدا,"[9416, 20564, 20567]"
78,اقشار,[11493]
79,البرز,"[128, 341, 1059, 2341, 2345]"
80,الف,[681]
81,المثن,[10391]
82,اله,"[2096, 4234, 11082, 22336, 22338, 22340, 22342, 22344, 22346, 22348, 22350]"
83,الکترونیک,"[5818, 11648, 11656]"
84,اما,"[2209, 4946, 10231, 21907, 21909, 21911]"
85,اماکن,[13037]
86,امتیاز,[8400]
87,امر,[8088]
88,امن,"[193, 10500]"
89,امور,"[6624, 13922, 13925, 13928, 13931, 13934]"
90,امک,"[5990, 12916, 26141, 26143, 26145, 26147, 26149]"
91,امکان‌پذیر,[6933]
92,انتخاب,"[3887, 10395]"
93,انتشار,"[8203, 16555, 16560]"
94,انتقال,"[9889, 19822]"
95,انجا,"[6688, 15843, 15846]"
96,انجمن,"[7691, 15482, 15486, 15490, 15494, 15498, 15502]"
97,انداز,"[6726, 19116]"
98,اندیشه,"[2201, 5073]"
99,انضباط,[10346]
100,انگلیس,"[1638, 3296, 8200, 8205, 8210, 8215, 8220, 8225]"
101,انگل‌شناس,[2667]
102,اکولوژیک,[4760]
103,ایجاد,"[540, 10229, 20975, 20979, 20983, 20987]"
104,ایر,"[2906, 9792, 19738, 19740]"
105,این,"[137, 621, 1797, 8217, 16632, 16634, 16636, 16638, 16640, 16642, 16644, 16646, 16648, 16650, 16652, 16654, 16656, 16658, 16660, 16662, 16664, 16666, 16668, 16670, 16672, 16674, 16676, 16678]"
106,اینترن,"[6742, 13525, 13530]"
107,اینترنت,"[6743, 13527, 13533]"
108,اینک,[1177]
109,ب,"[126, 337, 750, 1511, 3054, 6206, 12436, 25093]"
110,با,"[303, 1024, 2054, 4498, 9354, 18895, 18896, 18897, 18898, 18899, 18900, 18901, 18902, 18903, 18904, 18905, 18906, 18907, 18908, 18909, 18910, 18911, 18912, 18913, 18914, 18915, 18916, 18917, 18918, 18919, 18920, 18921, 18922, 18923, 18924, 18925, 18926, 18927, 18928, 18929, 18930, 18931, 18932, 18933, 18934, 18935, 18936, 18937, 18938, 18939, 18940, 18941, 18942, 18943, 18944, 18945, 18946, 18947, 18948, 18949, 18950, 18951, 18952, 18953, 18954, 18955, 18956, 18957, 18958, 18959, 18960, 18961, 18962, 18963, 18964, 18965, 18966, 18967, 18968, 18969, 18970, 18971, 18972, 18973, 18974, 18975, 18976, 18977, 18978, 18979, 18980, 18981, 18982, 18983, 18984, 18985, 18986, 18987, 18988, 18989, 18990, 18991, 18992, 18993, 18994, 18995, 18996, 18997]"
111,باب,"[6051, 19148]"
112,باجه,[12033]
113,بازاریاب,"[1871, 4321]"
114,بازرگان,[5116]
115,بازپرداخ,"[10910, 21865, 21872, 21879]"
116,باشند,"[306, 7567, 15607, 15611]"
117,باشگاه,"[8873, 17793, 17798]"
118,باغ,"[1150, 3709, 7628, 7630, 7632, 7634, 7636, 7638, 7640, 7642, 7644, 7646]"
119,باغبان,"[2562, 5172, 10539, 10544, 10549, 10554, 10559, 10564, 10569, 10574, 10579]"
120,بالا,"[8963, 17954]"
121,باهنر,[13348]
122,بخش,"[415, 11950, 11952]"
123,بدن,"[3322, 6685, 6687, 6689, 6691, 6693]"
124,بدو,"[989, 9073]"
125,بدون,[990]
126,بذر,[4004]
127,بر,"[127, 339, 865, 1903, 3853, 7713, 15441, 15442, 15443, 15444, 15445, 15446, 15447, 15448, 15449, 15450, 15451, 15452, 15453, 15454, 15455, 15456, 15457, 15458, 15459, 15460, 15461, 15462, 15463, 15464, 15465, 15466, 15467, 15468, 15469, 15470, 15471, 15472, 15473, 15474, 15475, 15476, 15477, 15478, 15479, 15480, 15481, 15482, 15483, 15484, 15485, 15486, 15487, 15488]"
128,برا,"[6947, 13928, 27905, 27907, 27909, 27911, 27913]"
129,برخورد,[10356]
130,بردا,"[2594, 6918, 20067, 20070]"
131,بردار,"[5542, 18692]"
132,بررس,"[8427, 18296]"
133,برق,"[2233, 7717, 18046]"
134,برقرار,[10332]
135,برنامه,"[7289, 14598, 14603]"
136,برپا,[7525]
137,برگزار,"[7404, 14843, 14848, 14853, 14858, 14863, 14868, 14873]"
138,برگه,[6501]
139,بزرگ,"[6203, 18011, 18014]"
140,بسیار,"[13249, 27021, 27025, 27029]"
141,بسیج,[7623]
142,بعد,[8688]
143,بعضا,"[8059, 16154]"
144,بلندمد,[10984]
145,بند,"[803, 5308]"
146,به,"[291, 603, 1275, 3605, 7437, 15187, 15188, 15189, 15190, 15191, 15192, 15193, 15194, 15195, 15196, 15197, 15198, 15199, 15200, 15201, 15202, 15203, 15204, 15205, 15206, 15207, 15208, 15209, 15210, 15211, 15212, 15213, 15214, 15215, 15216, 15217, 15218, 15219, 15220, 15221, 15222, 15223, 15224, 15225, 15226, 15227, 15228, 15229, 15230, 15231, 15232, 15233, 15234, 15235, 15236, 15237, 15238, 15239, 15240, 15241, 15242, 15243, 15244, 15245]"
147,بهدا,"[2709, 8014, 19699]"
148,بهره,"[3834, 10420, 23564]"
149,بهره‌بردار,[13150]
150,بهره‌گیر,[6590]
151,به‌طور,"[316, 11730]"
152,بودن,"[731, 12116]"
153,بوده,[6891]
154,بوفه,"[13606, 27253]"
155,بیرون,"[13663, 27896]"
156,بیمارس,"[11768, 23568]"
157,بیمارستان,"[11771, 23574]"
158,بیماری,"[2719, 5467]"
159,بیمه,[9824]
160,بین,"[819, 1672, 4494, 11660, 11662, 11664]"
161,بین‌الملل,"[2828, 5679, 5687]"
162,بیوتکنولوژ,"[3940, 8551]"
163,بیولوژ,"[2066, 5820, 5825, 5830]"
164,بیومکانیک,[3425]
165,تأسیس,"[1064, 9200, 21891]"
166,تئا,[13124]
167,تا,"[121, 396, 916, 1882, 4174, 8565, 19162, 19163, 19164, 19165, 19166, 19167, 19168, 19169, 19170, 19171, 19172, 19173, 19174, 19175, 19176, 19177, 19178, 19179, 19180, 19181, 19182, 19183, 19184, 19185, 19186, 19187, 19188, 19189, 19190, 19191, 19192]"
168,تاسیس,"[5875, 11767]"
169,تاکسیران,[12098]
170,تبدیل,[11815]
171,تبرید,[5885]
172,تجزیه,[3698]
173,تجمع,[13963]
174,تجهیز,"[6714, 13791]"
175,تح,"[294, 1387, 2877, 6461, 16685, 16686, 16687, 16688, 16689, 16690, 16691]"
176,تحصیل,"[297, 1393, 2886, 13423, 13427, 13431, 13435, 13439]"
177,تحقیق,"[1960, 5547]"
178,تخصص,"[574, 1940, 13339, 13342, 13345]"
179,تدوین,[7872]
180,تر,"[528, 1136, 2496, 5410, 11068, 22633, 22634, 22635, 22636, 22637, 22638, 22639, 22640, 22641, 22642, 22643, 22644, 22645, 22646, 22647, 22648, 22649, 22650, 22651, 22652, 22653, 22654, 22655, 22656, 22657, 22658, 22659, 22660, 22661, 22662, 22663, 22664, 22665, 22666, 22667, 22668, 22669]"
181,ترب,"[3316, 6673, 6675, 6677, 6679, 6681, 6683]"
182,تربیت,"[3318, 6677, 6681, 6685, 6689, 6693, 6697]"
183,تسهیل,"[9089, 18690, 18694, 18698, 18702]"
184,تشکل,[7980]
185,تصویب,[8495]
186,تصویر,[13242]
187,تعداد,"[8680, 18141, 18145]"
188,تغذیه,"[2365, 7014]"
189,تفریح,[10115]
190,تقاضا,"[8344, 18255]"
191,تلا,[960]
192,تلفن,[12042]
193,تلویزیون,[7120]
194,تن,"[1025, 10802, 22822]"
195,تهویه,[5902]
196,تهیه,[13823]
197,تو,"[781, 2798, 6106, 12633, 26444, 26445, 26446, 26447, 26448, 26449, 26450, 26451, 26452, 26453, 26454, 26455, 26456, 26457, 26458, 26459, 26460, 26461, 26462, 26463, 26464, 26465, 26466, 26467, 26468, 26469, 26470, 26471, 26472, 26473, 26474, 26475, 26476]"
198,توانا,[10779]
199,توانسته,[786]
200,توجه,[11866]
201,تور,"[8259, 20474, 20476, 20478, 20480, 20482]"
202,توسط,"[8065, 16166]"
203,توسعه,[2408]
204,توقیف,[8704]
205,تولید,"[2581, 5339, 10758, 10762]"
206,توپولوژ,[2022]
207,تکمیل,"[8367, 19495, 19499]"
208,تکنولوژ,"[3940, 7939, 7945]"
209,تکوین,[3804]
210,تکیه,[1035]
211,جابجا,"[11910, 23913]"
212,جاسب,[13199]
213,جامد,[3662]
214,جامع,[677]
215,جانب,[1007]
216,جانور,[3778]
217,جبر,[2053]
218,جذب,[10013]
219,جر,"[2681, 5486, 13754, 13755, 13756, 13757, 13758]"
220,جراح,"[2683, 14303]"
221,جزا,[3280]
222,جزو,[595]
223,جشن,[7415]
224,جلد,[6306]
225,جمله,[9731]
226,جنگل,"[13886, 27827]"
227,جه,"[6082, 12794, 25982, 25983, 25984, 25985, 25986, 25987, 25988, 25989, 25990, 25991, 25992]"
228,جهان,[6913]
229,جو,"[247, 590, 1336, 7439, 15069, 15070, 15071, 15072, 15073, 15074, 15075, 15076, 15077, 15078, 15079, 15080, 15081, 15082, 15083, 15084, 15085, 15086, 15087, 15088, 15089, 15090, 15091, 15092, 15093, 15094, 15095, 15096, 15097, 15098, 15099, 15100, 15101, 15102, 15103, 15104, 15105, 15106, 15107, 15108, 15109, 15110, 15111, 15112, 15113, 15114, 15115, 15116, 15117, 15118, 15119, 15120, 15121, 15122, 15123, 15124, 15125, 15126, 15127, 15128, 15129, 15130, 15131, 15132, 15133]"
230,حاصلخیز,[4458]
231,حاضر,"[7949, 16525, 16528, 16531, 16534]"
232,حال,"[3656, 10898, 22895, 22897, 22899, 22901, 22903, 22905, 22907, 22909]"
233,حج,[7391]
234,حدود,[232]
235,حدیث,"[2133, 5253, 5256]"
236,حرفه,"[1380, 4300]"
237,حرک,"[3466, 6963]"
238,حرکت,[3467]
239,حسابدار,"[1736, 6862, 6868]"
240,حضور,"[370, 885]"
241,حفاظ,"[4559, 9364]"
242,حفظ,[10303]
243,حقوق,"[2782, 5576, 14330, 14333, 14336, 14339, 14342, 14345, 14348]"
244,حق‌التدریس,[1129]
245,حلقه,[7139]
246,حوادث,[9830]
247,حواش,[8812]
248,حوزه,"[9031, 18585, 18588, 18591]"
249,حکم,[3216]
250,حین,[11212]
251,خاط,[10373]
252,خاک,"[2540, 6977, 6979, 6981, 6983, 6985, 6987, 6989, 6991, 6993]"
253,خد,"[6773, 16589, 16590, 16591]"
254,خصوص,"[2787, 16497]"
255,خط,[12116]
256,خمیر,[2649]
257,خمین,[2215]
258,خواهد_شد,[]
259,خواهر,[1196]
260,خواهند_بود,[]
261,خوب,[13764]
262,خود,"[983, 2060, 6892, 14961]"
263,خودرو,[4834]
264,دا,"[4, 52, 116, 261, 600, 1211, 2464, 5058, 10183, 20375, 20376, 20377, 20378, 20379, 20380, 20381, 20382, 20383, 20384, 20385, 20386, 20387, 20388, 20389, 20390, 20391, 20392, 20393, 20394, 20395, 20396, 20397, 20398, 20399, 20400, 20401, 20402, 20403, 20404, 20405, 20406, 20407, 20408, 20409, 20410, 20411, 20412, 20413, 20414, 20415, 20416, 20417, 20418, 20419, 20420, 20421, 20422, 20423, 20424, 20425, 20426, 20427, 20428, 20429, 20430, 20431, 20432, 20433, 20434, 20435, 20436, 20437, 20438, 20439, 20440, 20441, 20442, 20443, 20444, 20445, 20446, 20447, 20448, 20449, 20450, 20451, 20452, 20453, 20454, 20455, 20456, 20457, 20458, 20459, 20460, 20461, 20462, 20463, 20464, 20465, 20466, 20467, 20468, 20469, 20470, 20471, 20472, 20473, 20474, 20475, 20476, 20477, 20478, 20479, 20480, 20481, 20482, 20483, 20484, 20485, 20486, 20487, 20488, 20489, 20490, 20491, 20492, 20493, 20494, 20495, 20496, 20497, 20498, 20499, 20500, 20501, 20502, 20503, 20504, 20505, 20506, 20507, 20508, 20509, 20510, 20511, 20512, 20513, 20514, 20515, 20516, 20517, 20518, 20519, 20520, 20521, 20522, 20523, 20524, 20525, 20526, 20527, 20528, 20529, 20530, 20531, 20532, 20533, 20534, 20535, 20536, 20537, 20538, 20539, 20540, 20541, 20542, 20543, 20544, 20545, 20546, 20547, 20548, 20549, 20550, 20551, 20552, 20553, 20554, 20555, 20556, 20557, 20558, 20559, 20560, 20561, 20562, 20563, 20564, 20565, 20566, 20567, 20568, 20569, 20570, 20571, 20572, 20573, 20574, 20575, 20576, 20577, 20578, 20579, 20580, 20581, 20582, 20583, 20584]"
265,داخل,"[10139, 21802, 21805, 21808, 21811]"
266,داده‌اس,[650]
267,دارا,"[666, 1392, 7434, 16386, 16389, 16392, 16395, 16398]"
268,دارد,[223]
269,دارند,"[376, 829, 8491, 19289]"
270,دارو,"[4064, 15785]"
271,داروخانه,[11725]
272,دام,"[192, 2550, 5222, 10626, 21775, 21777, 21779, 21781, 21783, 21785, 21787, 21789, 21791, 21793, 21795, 21797, 21799, 21801, 21803]"
273,دامنه,[194]
274,دامپزشک,"[2676, 5368, 11107, 24632, 24638, 24644]"
275,دان,"[5, 54, 119, 265, 605, 1217, 2471, 8219, 16501, 16503, 16505, 16507, 16509, 16511, 16513, 16515, 16517, 16519, 16521, 16523, 16525, 16527, 16529, 16531, 16533, 16535, 16537, 16539, 16541, 16543, 16545, 16547, 16549, 16551, 16553, 16555, 16557, 16559, 16561, 16563, 16565, 16567, 16569, 16571, 16573, 16575, 16577, 16579, 16581, 16583, 16585, 16587, 16589, 16591, 16593, 16595, 16597, 16599, 16601, 16603, 16605, 16607, 16609, 16611, 16613, 16615, 16617, 16619, 16621, 16623, 16625, 16627, 16629, 16631, 16633, 16635, 16637, 16639, 16641, 16643, 16645, 16647, 16649, 16651, 16653, 16655, 16657, 16659, 16661, 16663, 16665, 16667, 16669, 16671, 16673, 16675, 16677, 16679, 16681, 16683, 16685, 16687, 16689, 16691, 16693, 16695, 16697, 16699, 16701, 16703, 16705, 16707, 16709, 16711, 16713, 16715, 16717, 16719, 16721, 16723, 16725, 16727, 16729, 16731, 16733, 16735, 16737, 16739, 16741, 16743, 16745, 16747, 16749, 16751]"
276,دانشجو,"[247, 590, 1336, 7457, 15087, 15092, 15097, 15102, 15107, 15112, 15117, 15122, 15127, 15132, 15137, 15142, 15147, 15152, 15157, 15162, 15167, 15172, 15177, 15182, 15187, 15192, 15197, 15202, 15207, 15212, 15217, 15222, 15227, 15232, 15237, 15242, 15247, 15252, 15257, 15262, 15267, 15272, 15277, 15282, 15287, 15292, 15297, 15302, 15307, 15312, 15317, 15322, 15327, 15332, 15337, 15342, 15347, 15352, 15357, 15362, 15367]"
277,دانشجویان,"[1058, 7182, 14382, 14390, 14398, 14406, 14414, 14422, 14430, 14438, 14446, 14454, 14462, 14470, 14478, 14486, 14494, 14502, 14510, 14518, 14526, 14534, 14542, 14550, 14558, 14566, 14574, 14582, 14590, 14598, 14606, 14614, 14622, 14630, 14638]"
278,دانشنامه,[54]
279,دانشکده,"[6245, 13050, 26451, 26457, 26463, 26469, 26475, 26481, 26487, 26493]"
280,دانشگاه,"[9, 78, 176, 434, 1022, 2280, 8442, 16917, 16923, 16929, 16935, 16941, 16947, 16953, 16959, 16965, 16971, 16977, 16983, 16989, 16995, 17001, 17007, 17013, 17019, 17025, 17031, 17037, 17043, 17049, 17055, 17061, 17067, 17073, 17079, 17085, 17091, 17097, 17103, 17109, 17115, 17121, 17127, 17133, 17139, 17145, 17151, 17157, 17163, 17169, 17175]"
281,دانش‌آموز,[13009]
282,داوطلب,[10196]
283,دایر,"[6886, 19718]"
284,دبس,[12929]
285,دبیرس,[12950]
286,دخترانه,[12976]
287,در,"[111, 276, 622, 1411, 3222, 6812, 13829, 27840, 27841, 27842, 27843, 27844, 27845, 27846, 27847, 27848, 27849, 27850, 27851, 27852, 27853, 27854, 27855, 27856, 27857, 27858, 27859, 27860, 27861, 27862, 27863, 27864, 27865, 27866, 27867, 27868, 27869, 27870, 27871, 27872, 27873, 27874, 27875, 27876, 27877, 27878, 27879, 27880, 27881, 27882, 27883, 27884, 27885, 27886, 27887, 27888, 27889, 27890, 27891, 27892, 27893, 27894, 27895, 27896, 27897, 27898, 27899, 27900, 27901, 27902, 27903, 27904, 27905]"
288,درخ,"[4134, 12575, 12577]"
289,درخواس,"[8444, 18321]"
290,درخواست,"[8445, 18323]"
291,درعمل,[1966]
292,درمانگاه,"[10662, 21965, 21972, 21979, 21986]"
293,درورز,[1889]
294,درون,[13655]
295,دریاف,"[7928, 16180]"
296,دسترس,[6899]
297,دستورالعمل,[8264]
298,دستگاه,"[6606, 13710, 13715]"
299,دستیار,"[2701, 5475]"
300,دف,[7588]
301,دلایل,[10420]
302,دنبال,[8828]
303,دندانپزشک,[11650]
304,ده,"[505, 1106, 2292, 4912, 10120, 20326, 20327, 20328, 20329, 20330, 20331, 20332, 20333, 20334, 20335, 20336, 20337, 20338, 20339, 20340, 20341, 20342, 20343, 20344, 20345, 20346, 20347, 20348, 20349, 20350, 20351, 20352, 20353, 20354, 20355, 20356, 20357, 20358, 20359, 20360, 20361, 20362, 20363, 20364, 20365, 20366, 20367, 20368, 20369, 20370]"
305,دوره,[11015]
306,دولت,"[107, 1127, 6181]"
307,دک,"[1358, 2729, 5641, 16270, 16271, 16272, 16273, 16274]"
308,دکتر,"[1360, 2733, 5647, 18841, 18844]"
309,دکترا,[1374]
310,دیگر,"[8717, 20857, 20860]"
311,را,"[217, 761, 1654, 3457, 7240, 14649, 14650, 14651, 14652, 14653, 14654, 14655, 14656, 14657, 14658, 14659, 14660, 14661, 14662, 14663, 14664, 14665, 14666, 14667, 14668, 14669, 14670, 14671, 14672, 14673, 14674, 14675, 14676, 14677, 14678, 14679, 14680, 14681, 14682, 14683, 14684, 14685, 14686, 14687, 14688, 14689, 14690, 14691, 14692, 14693, 14694, 14695, 14696, 14697, 14698, 14699, 14700, 14701, 14702, 14703, 14704, 14705, 14706, 14707, 14708, 14709, 14710, 14711, 14712, 14713, 14714, 14715, 14716, 14717, 14718, 14719, 14720, 14721, 14722, 14723, 14724, 14725, 14726, 14727, 14728, 14729, 14730, 14731, 14732, 14733, 14734, 14735, 14736, 14737, 14738, 14739, 14740, 14741, 14742, 14743, 14744]"
312,ران,"[1198, 4106, 9708, 20341, 20343, 20345, 20347, 20349, 20351, 20353, 20355, 20357, 20359, 20361, 20363, 20365, 20367, 20369, 20371]"
313,راه,"[1161, 2965, 9685, 19684, 19686, 19688, 19690]"
314,راهبرد,[1807]
315,راهنما,[12940]
316,رایانه,"[6574, 13187, 13192, 13197, 13202]"
317,رایگ,"[11844, 23798]"
318,رتبه,"[672, 1471, 10429, 10432, 10435]"
319,رتبه‌بند,[803]
320,رده,"[2620, 7121, 7123, 7125]"
321,رسان,"[1879, 8291]"
322,رسانه,[1880]
323,رسیدگ,[10507]
324,رشته,"[1090, 2311, 9516, 9519, 9522]"
325,رفاه,"[9608, 19310, 19313]"
326,رفتار,[3462]
327,ره,"[2220, 6054, 12640, 25681, 25682, 25683, 25684, 25685, 25686, 25687, 25688, 25689, 25690, 25691, 25692, 25693, 25694, 25695, 25696, 25697, 25698, 25699, 25700, 25701, 25702, 25703, 25704, 25705, 25706, 25707, 25708, 25709]"
328,رهبر,[7583]
329,رهیار,[8763]
330,روابط,"[2841, 6089, 13699]"
331,روانشناس,"[1669, 3355, 6914, 17535, 17542, 17549]"
332,روباز,[14136]
333,روح,[10528]
334,روز,"[328, 10977, 22401, 22403]"
335,روزانه,[331]
336,روزه,"[10650, 24389]"
337,رویداد,[1830]
338,ریاض,"[1943, 3918, 9113, 9116, 9119, 9122, 9125, 9128]"
339,ریال,[9863]
340,ریخته‌گر,[]
341,زا,"[13, 72, 226, 465, 1089, 2351, 4797, 10736, 22091, 22092, 22093, 22094, 22095, 22096, 22097, 22098, 22099, 22100, 22101, 22102, 22103, 22104, 22105, 22106, 22107, 22108, 22109, 22110, 22111, 22112, 22113, 22114, 22115, 22116, 22117, 22118, 22119, 22120, 22121, 22122, 22123, 22124, 22125, 22126]"
342,زب,"[1543, 3107, 7962, 16386, 16387, 16388, 16389, 16390, 16391, 16392, 16393, 16394, 16395, 16396, 16397, 16398, 16399, 16400]"
343,زراع,"[2317, 6725]"
344,زمین,"[5236, 14918, 14921]"
345,زمینه,[9683]
346,زن,[11586]
347,زیاد,"[8783, 17601]"
348,زیارت,[7367]
349,زیر,[12521]
350,زیس,"[2521, 6256, 6258, 6260]"
351,زیست‌شناس,[3766]
352,زینت,[4263]
353,سا,"[807, 1754, 3568, 7444, 15224, 15225, 15226, 15227, 15228, 15229, 15230, 15231, 15232, 15233, 15234, 15235, 15236, 15237, 15238, 15239, 15240, 15241, 15242, 15243, 15244, 15245, 15246, 15247, 15248, 15249, 15250, 15251, 15252, 15253, 15254, 15255, 15256, 15257, 15258, 15259, 15260, 15261, 15262, 15263, 15264, 15265, 15266, 15267, 15268]"
354,ساخ,"[2988, 8829, 20583, 20585]"
355,ساز,"[1815, 4447, 10020, 22092, 22094, 22096, 22098]"
356,سازمان,"[1818, 9678, 21753]"
357,سازه,"[2633, 8607]"
358,ساع,[11963]
359,سال,"[948, 11914, 24978, 24980, 24982, 24984, 24986, 24988, 24990, 24992, 24994, 24996, 24998, 25000]"
360,سالن,"[13065, 26167, 26170, 26173, 26176, 26179, 26182, 26185, 26188, 26191]"
361,ساله,"[10967, 22221]"
362,ساله‌اس,[10970]
363,سایت,"[6567, 13302, 27488, 27491, 27494, 27497]"
364,سایر,[9946]
365,سایماگو,[812]
366,سبزی,[4195]
367,سخنرانی,"[9374, 18847]"
368,سر,"[6127, 13372, 27477, 27478, 27479, 27480, 27481, 27482, 27483]"
369,سرویس,"[6130, 13378, 27527, 27531, 27535]"
370,سرویس‌ده,"[7251, 17946]"
371,سرپوشیده,[14111]
372,سریع,[12183]
373,سطح,[9982]
374,سلام,"[20, 100, 261, 530, 1161, 2430, 5533, 11706, 23946, 23949, 23952, 23955, 23958, 23961, 23964, 23967, 23970, 23973, 23976, 23979, 23982, 23985, 23988, 23991, 23994, 23997, 24000, 24003, 24006, 24009, 24012, 24015, 24018]"
375,سلول,"[3795, 9265]"
376,سلولز,[5471]
377,سما,"[1190, 2487, 15140, 15142, 15144]"
378,سمینار,"[9118, 18335, 18340, 18345]"
